,id,date,month,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,query,price/sqft,price_zipcode,recommendation,season,price/sqft_season,sell_price
0,4060000240,2014-06-23,6,205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,0,98178,47.5009,-122.248,1190,6780,"47.5009,-122.248",30.298672566371682,38.42706728299949,buy,spring,27.687504293655834,225967.50000000003
1,4268200055,2015-05-01,5,245000.0,3,1.75,1740,11547,1.0,0,0,3,7,1740,0,1954,0,98178,47.4945,-122.22,880,78408,"47.4945,-122.22",21.217632285442107,38.42706728299949,buy,spring,27.687504293655834,318500.0
2,2172000075,2014-06-23,6,290900.0,2,2.0,1610,17600,2.0,0,0,3,6,1610,0,1930,1983,98178,47.4855,-122.266,1310,12950,"47.4855,-122.266",16.52840909090909,38.42706728299949,buy,spring,27.687504293655834,378170.0
3,2171400218,2015-04-16,4,245000.0,4,1.5,1280,8000,1.0,0,0,3,6,1280,0,1960,0,98178,47.4949,-122.255,1420,8211,"47.4949,-122.255",30.625,38.42706728299949,buy,spring,27.687504293655834,269500.0
4,3810000860,2015-05-06,5,240000.0,4,1.5,1920,7973,1.0,0,0,3,8,1920,0,1955,0,98178,47.4961,-122.235,2020,8840,"47.4961,-122.235",30.101592875956353,38.42706728299949,buy,spring,27.687504293655834,264000.0
5,3352401981,2014-05-21,5,199000.0,4,2.0,2030,8120,2.0,0,0,3,7,2030,0,1950,0,98178,47.4994,-122.261,1520,9440,"47.4994,-122.261",24.507389162561577,38.42706728299949,buy,spring,27.687504293655834,258700.0
6,2144800215,2014-05-19,5,285000.0,4,1.75,2080,13629,1.0,0,0,4,7,1040,1040,1955,0,98178,47.4866,-122.232,1780,14659,"47.4866,-122.232",20.911292097732776,38.42706728299949,buy,spring,27.687504293655834,370500.0
7,2172000750,2014-05-27,5,160000.0,2,1.0,1180,9350,1.0,0,0,3,6,1180,0,1918,0,98178,47.4889,-122.259,1780,9306,"47.4889,-122.259",17.112299465240643,38.42706728299949,buy,spring,27.687504293655834,208000.0
8,1159100100,2014-06-20,6,359950.0,3,2.25,1940,11612,1.0,0,0,4,8,1100,840,1981,0,98178,47.5018,-122.23,2180,8954,"47.5018,-122.23",30.998105408198416,38.42706728299949,buy,spring,27.687504293655834,395945.00000000006
9,9368700031,2014-05-09,5,195000.0,2,1.0,720,18000,1.0,0,0,3,6,720,0,1950,0,98178,47.5054,-122.261,1250,7925,"47.5054,-122.261",10.833333333333334,38.42706728299949,buy,spring,27.687504293655834,253500.0
10,3348401319,2014-05-12,5,372500.0,5,3.0,2480,10090,1.0,0,0,3,7,1300,1180,2004,0,98178,47.4964,-122.263,2290,9900,"47.4964,-122.263",36.91774033696729,38.42706728299949,buy,spring,27.687504293655834,409750.00000000006
11,1823059106,2015-04-28,4,288250.0,3,1.75,2110,15400,1.0,0,0,3,7,1380,730,1963,0,98178,47.4861,-122.226,2110,9800,"47.4861,-122.226",18.717532467532468,38.42706728299949,buy,spring,27.687504293655834,374725.0
12,7812801115,2014-06-13,6,153000.0,3,1.0,1270,6405,1.5,0,0,3,6,1270,0,1944,0,98178,47.4959,-122.241,1110,6405,"47.4959,-122.241",23.88758782201405,38.42706728299949,buy,spring,27.687504293655834,198900.0
13,3348401095,2015-04-27,4,210000.0,4,1.75,2090,6485,1.0,0,0,3,7,1280,810,1956,0,98178,47.4958,-122.265,2190,9600,"47.4958,-122.265",32.38242097147263,38.42706728299949,buy,spring,27.687504293655834,231000.0
14,2144800615,2014-06-25,6,190000.0,1,0.75,930,29258,1.0,0,0,3,6,930,0,1941,0,98178,47.4837,-122.236,2000,18321,"47.4837,-122.236",6.49395037254768,38.42706728299949,buy,spring,27.687504293655834,247000.0
15,2172000846,2014-06-19,6,248000.0,4,2.0,2080,13510,1.0,0,0,3,7,1040,1040,1950,0,98178,47.4918,-122.258,2010,11625,"47.4918,-122.258",18.35677276091784,38.42706728299949,buy,spring,27.687504293655834,322400.0
16,1180007005,2014-06-25,6,265950.0,3,1.5,1150,8450,1.0,0,0,4,6,1150,0,1951,0,98178,47.4927,-122.224,1160,6800,"47.4927,-122.224",31.473372781065088,38.42706728299949,buy,spring,27.687504293655834,292545.0
17,2144800117,2014-06-26,6,270000.0,4,2.25,2600,9900,1.0,0,0,3,7,1600,1000,1965,0,98178,47.4881,-122.237,1770,11250,"47.4881,-122.237",27.272727272727273,38.42706728299949,buy,spring,27.687504293655834,351000.0
18,7812801925,2014-06-24,6,230000.0,4,1.75,1850,6000,1.0,0,0,4,6,1270,580,1944,0,98178,47.4923,-122.247,1270,6600,"47.4923,-122.247",38.333333333333336,38.42706728299949,buy,spring,27.687504293655834,253000.00000000003
19,4440400125,2014-05-08,5,228000.0,4,1.75,2000,6120,1.0,0,0,3,7,1100,900,1965,0,98178,47.5035,-122.258,1880,6120,"47.5035,-122.258",37.254901960784316,38.42706728299949,buy,spring,27.687504293655834,250800.00000000006
20,9368700270,2015-04-01,4,137900.0,3,1.75,1160,5082,1.0,0,0,3,6,580,580,1942,0,98178,47.503,-122.262,1730,6000,"47.503,-122.262",27.134986225895318,38.42706728299949,buy,spring,27.687504293655834,179270.0
21,3352402272,2014-06-11,6,230000.0,5,2.0,1910,7200,1.0,0,0,4,6,1110,800,1951,0,98178,47.4975,-122.261,1150,5948,"47.4975,-122.261",31.944444444444443,38.42706728299949,buy,spring,27.687504293655834,253000.00000000003
22,2172000570,2014-06-24,6,317000.0,5,2.5,2360,11375,1.0,0,0,4,7,1180,1180,1962,0,98178,47.4875,-122.255,1160,7800,"47.4875,-122.255",27.86813186813187,38.42706728299949,buy,spring,27.687504293655834,348700.0
23,7689600360,2014-06-13,6,215000.0,2,1.0,710,7200,1.0,0,0,3,6,710,0,1943,0,98178,47.4903,-122.245,960,7200,"47.4903,-122.245",29.86111111111111,38.42706728299949,buy,spring,27.687504293655834,236500.00000000003
24,3352400905,2014-05-16,5,245000.0,4,1.0,1530,7200,1.5,0,0,3,7,1400,130,1948,0,98178,47.5015,-122.262,1530,7200,"47.5015,-122.262",34.02777777777778,38.42706728299949,buy,spring,27.687504293655834,269500.0
25,3348401490,2014-06-30,6,265000.0,2,2.0,1860,10856,1.0,0,0,3,8,1260,600,1952,0,98178,47.4989,-122.265,1250,10008,"47.4989,-122.265",24.410464259395727,38.42706728299949,buy,spring,27.687504293655834,344500.0
26,1180003175,2015-04-10,4,229950.0,2,1.0,850,6000,1.0,0,0,3,6,850,0,1924,0,98178,47.4972,-122.224,1100,6000,"47.4972,-122.224",38.325,38.42706728299949,buy,spring,27.687504293655834,252945.00000000006
27,2976800145,2015-04-06,4,260000.0,4,1.75,2010,10816,1.0,0,0,3,7,1410,600,1955,0,98178,47.5048,-122.251,1610,9360,"47.5048,-122.251",24.03846153846154,38.42706728299949,buy,spring,27.687504293655834,338000.00000000006
28,2172000894,2015-04-17,4,225000.0,3,1.0,1250,10200,1.0,0,0,3,6,1250,0,1965,0,98178,47.4902,-122.256,1800,8283,"47.4902,-122.256",22.058823529411764,38.42706728299949,buy,spring,27.687504293655834,292500.0
29,1180005220,2015-05-05,5,225000.0,2,1.0,1070,6000,1.0,0,0,4,5,1070,0,1922,0,98178,47.495,-122.227,1910,6000,"47.495,-122.227",37.5,38.42706728299949,buy,spring,27.687504293655834,247500.00000000003
30,1223049150,2015-04-14,4,325000.0,2,1.75,1670,10725,1.0,0,0,3,7,1670,0,1965,0,98178,47.4893,-122.229,1600,10725,"47.4893,-122.229",30.303030303030305,38.42706728299949,buy,spring,27.687504293655834,357500.0
31,4059400585,2014-06-24,6,218000.0,3,1.0,880,18205,1.0,0,0,4,6,880,0,1945,0,98178,47.5013,-122.244,1110,16115,"47.5013,-122.244",11.974732216424059,38.42706728299949,buy,spring,27.687504293655834,283400.0
32,7812801700,2014-06-10,6,227000.0,4,1.0,1200,7200,1.5,0,0,3,6,1200,0,1944,0,98178,47.4951,-122.248,1070,6050,"47.4951,-122.248",31.52777777777778,38.42706728299949,buy,spring,27.687504293655834,249700.00000000003
33,4060000290,2014-06-17,6,253000.0,3,1.5,880,6600,1.0,0,0,5,6,880,0,1945,0,98178,47.5002,-122.247,1020,6600,"47.5002,-122.247",38.333333333333336,38.42706728299949,buy,spring,27.687504293655834,278300.00000000006
34,3347401315,2014-06-16,6,220000.0,3,2.0,1410,7998,1.0,0,0,4,7,1410,0,1940,0,98178,47.4968,-122.277,1780,8278,"47.4968,-122.277",27.506876719179797,38.42706728299949,buy,spring,27.687504293655834,286000.0
35,1423049019,2014-05-23,5,90000.0,2,1.0,580,7500,1.0,0,0,3,5,580,0,1943,0,98178,47.4852,-122.251,1700,11250,"47.4852,-122.251",12.0,38.42706728299949,buy,spring,27.687504293655834,117000.0
36,3810000843,2015-04-27,4,345000.0,5,1.75,2840,12870,2.0,0,2,4,7,2840,0,1925,0,98178,47.4961,-122.235,2170,9612,"47.4961,-122.235",26.806526806526808,38.42706728299949,buy,spring,27.687504293655834,448500.0
37,1823059223,2014-05-20,5,291000.0,3,1.75,1560,9788,1.0,0,0,3,7,1560,0,1964,0,98178,47.4876,-122.226,1840,11180,"47.4876,-122.226",29.73028197793216,38.42706728299949,buy,spring,27.687504293655834,320100.0
